surface,rung,capability,n_genes,n_rows,pearson_r,pearson_r_ci_lo,pearson_r_ci_hi,cosine,cosine_ci_lo,cosine_ci_hi,topbase_acc,topbase_acc_ci_lo,topbase_acc_ci_hi,auroc,auroc_ci_lo,auroc_ci_hi,macroF1,macroF1_ci_lo,macroF1_ci_hi,covR,covR_ci_lo,covR_ci_hi,mae,mae_ci_lo,mae_ci_hi,rmse,rmse_ci_lo,rmse_ci_hi,jsd_bits,jsd_bits_ci_lo,jsd_bits_ci_hi,kl_bits,kl_bits_ci_lo,kl_bits_ci_hi,ic_mae,ic_mae_ci_lo,ic_mae_ci_hi,coverage,coverage_ci_lo,coverage_ci_hi,gate_len_mae,gate_len_mae_ci_lo,gate_len_mae_ci_hi,gate_len_bias,gate_len_bias_ci_lo,gate_len_bias_ci_hi
clean_combined,v24_seed42,+ learned seq to PWM,95,560,0.6568,0.627,0.686,0.8012,0.7829,0.8189,0.7171,0.6917,0.7413,0.8569,0.8383,0.8739,0.5492,0.5256,0.5732,0.5434,0.5072,0.5794,0.1515,0.1419,0.1617,0.251,0.2378,0.2644,0.1788,0.1642,0.1953,0.9876,0.8905,1.0907,0.5149,0.4816,0.55,0.8203,0.7851,0.8539,3.5298,3.1452,3.9273,0.2857,-0.4819,1.0425
clean_combined,v24_ens5,+ seed averaging,95,560,0.6893,0.6585,0.7174,0.8203,0.8035,0.8355,0.7434,0.7179,0.7667,0.8563,0.8387,0.873,0.5752,0.5484,0.6015,0.5705,0.5308,0.6082,0.1706,0.1617,0.1799,0.241,0.23,0.2524,0.1791,0.1664,0.1928,0.7573,0.6945,0.8314,0.7585,0.7173,0.8013,0.8179,0.7807,0.8528,3.5298,3.1452,3.9273,0.2857,-0.4819,1.0425
deeppbs20,random_uniform,floor,20,152,0.0,0.0,0.0,0.6058,0.5932,0.6178,0.2462,0.206,0.2889,0.5,0.5,0.5,0.0964,0.0834,0.1104,0.0,0.0,0.0,0.2923,0.2843,0.3008,0.3497,0.3408,0.3591,0.3517,0.3332,0.371,1.3112,1.2452,1.3788,1.3112,1.2452,1.3788,0.9779,0.9564,0.995,3.1,2.4,3.85,2.6,1.55,3.65
deeppbs20,random_train_pwm,+ looks like a PWM,20,152,0.4558,0.414,0.5496,0.6499,0.6383,0.7095,0.5774,0.5573,0.664,0.7243,0.6956,0.7928,0.4473,0.4209,0.4795,0.2923,0.2724,0.3263,0.2348,0.2042,0.2431,0.3642,0.3092,0.3731,0.3378,0.2782,0.3475,3.7374,2.1452,3.7862,0.7075,0.5953,0.837,0.771,0.7227,0.8539,3.1,2.4,3.85,2.6,1.55,3.65
deeppbs20,B0_global,+ average motif,20,152,0.5274,0.4711,0.5824,0.6423,0.6227,0.666,0.6954,0.628,0.7577,0.7919,0.7501,0.8365,0.491,0.4392,0.5425,0.332,0.2948,0.3655,0.2841,0.2674,0.2983,0.3379,0.3181,0.3546,0.3403,0.3081,0.3701,1.2418,1.1232,1.3478,1.3295,1.2016,1.4435,0.7219,0.6558,0.797,3.1,2.4,3.85,2.6,1.55,3.65
deeppbs20,B0_family,+ family identity,20,152,0.6442,0.5847,0.6906,0.803,0.7785,0.8257,0.7106,0.6596,0.751,0.8448,0.8029,0.8777,0.6167,0.5746,0.6525,0.6234,0.5566,0.6788,0.1703,0.1491,0.191,0.2513,0.2323,0.2695,0.1828,0.1579,0.2098,0.8021,0.7148,0.8869,0.6313,0.5082,0.7643,0.9546,0.9127,0.9875,3.1,2.4,3.85,2.6,1.55,3.65
deeppbs20,B1_nearest_pwm,+ homology lookup,20,152,0.5658,0.4938,0.6399,0.7277,0.6787,0.7769,0.6463,0.5879,0.7067,0.8197,0.7734,0.865,0.5177,0.4639,0.5677,0.3869,0.3027,0.475,0.191,0.1647,0.2172,0.3092,0.2691,0.3479,0.2563,0.2102,0.3028,2.5678,1.6642,3.5672,0.6019,0.5186,0.6875,0.8382,0.7335,0.9303,3.1,2.4,3.85,2.6,1.55,3.65
deeppbs20,deeppbs,+ co-crystal structure input,20,152,0.6939,0.6335,0.7464,0.8364,0.8025,0.8655,0.7243,0.6699,0.7768,0.8852,0.8474,0.916,0.6784,0.6088,0.7434,0.6939,0.6335,0.7464,0.153,0.1347,0.173,0.2215,0.2001,0.2447,0.151,0.1288,0.1767,0.5804,0.4821,0.6975,0.6667,0.5948,0.7449,1.0,1.0,1.0,5.1,3.4,7.05,5.1,3.4,7.05
deeppbs20,v24_seed42,+ learned seq to PWM,20,152,0.6854,0.647,0.7208,0.8191,0.7921,0.8454,0.7334,0.6954,0.7694,0.8666,0.8405,0.8907,0.6157,0.5706,0.6609,0.6312,0.5827,0.6706,0.1396,0.1232,0.1573,0.2409,0.2164,0.2644,0.1614,0.1385,0.1858,0.9198,0.7873,1.0652,0.4493,0.3906,0.5255,0.9197,0.8795,0.9568,2.9676,2.2835,3.6274,2.6215,1.6917,3.4697
deeppbs20,v24_ens5,+ seed averaging,20,152,0.7071,0.664,0.7454,0.8275,0.8036,0.851,0.7605,0.7235,0.7911,0.8576,0.8288,0.8852,0.6482,0.6101,0.6846,0.655,0.5995,0.7038,0.1705,0.1568,0.1836,0.2422,0.2244,0.2589,0.1778,0.1598,0.1958,0.7398,0.6562,0.8222,0.7689,0.69,0.8429,0.922,0.8813,0.9585,2.9676,2.2835,3.6274,2.6215,1.6917,3.4697
