surface,rung,gene,pearson_r,cosine,topbase_acc,auroc,macroF1,mae,rmse,jsd_bits,kl_bits,ic_mae,covR,coverage,gate_len_mae,gate_len_bias
excluded,random_uniform,SP3,0.0,0.63917,0.03788,0.5,0.01648,0.26945,0.32632,0.3026,1.13795,1.13795,0.0,0.93197,2.42857,0.14286
excluded,random_uniform,SP5,0.0,0.65746,0.05556,0.5,0.02564,0.26069,0.31019,0.30049,1.12298,1.12298,0.0,0.81494,6.0,-2.0
excluded,random_uniform,SP7,0.0,0.65766,0.33333,0.5,0.125,0.25523,0.30288,0.25376,0.97218,0.97218,0.0,0.92308,1.0,-1.0
excluded,random_uniform,THRA,0.0,0.64125,0.21062,0.5,0.0858,0.26762,0.3247,0.29627,1.1251,1.1251,0.0,0.91772,3.0,0.14286
excluded,random_uniform,ZBTB40,0.0,0.57506,0.5,0.5,0.1665,0.31393,0.37106,0.37049,1.41311,1.41311,0.0,0.875,2.5,-2.5
excluded,random_train_pwm,EHF,0.40589,0.63638,0.54524,0.74453,0.42693,0.24656,0.36444,0.33554,2.55586,0.77222,0.28593,0.76999,4.14286,4.14286
excluded,random_train_pwm,ELF4,0.34897,0.54168,0.44789,0.66533,0.3871,0.27891,0.44012,0.44025,5.73626,0.6847,0.20933,0.6839,3.0,3.0
excluded,random_train_pwm,ELF5,0.45307,0.64636,0.59966,0.72234,0.4329,0.23388,0.36431,0.33875,3.57129,0.66867,0.31512,0.82075,3.72727,3.72727
excluded,random_train_pwm,ELK3,0.45295,0.64596,0.5371,0.74335,0.43048,0.22953,0.37244,0.3427,3.21118,0.67527,0.3643,0.85833,4.4,4.4
excluded,random_train_pwm,ETV2,0.40777,0.61844,0.56814,0.70391,0.46349,0.25253,0.38857,0.3878,5.14285,0.72965,0.21276,0.82857,4.14286,4.14286
excluded,random_train_pwm,ETV3,0.36426,0.59704,0.48639,0.70269,0.37347,0.26696,0.38952,0.37934,2.60578,0.80128,0.21,0.81328,3.85714,0.42857
excluded,random_train_pwm,ETV7,0.40757,0.62096,0.48065,0.69336,0.3392,0.25554,0.38294,0.35699,3.13705,0.83813,0.20933,0.7442,3.0,2.5
excluded,random_train_pwm,EWSR1-FLI1,0.36722,0.53921,0.5,0.65885,0.31429,0.26413,0.46588,0.45766,4.36152,0.47647,0.16321,0.77778,4.0,-4.0
excluded,random_train_pwm,FOXB1,0.32035,0.58815,0.47012,0.62615,0.3976,0.25909,0.387,0.35951,2.87146,0.61096,0.22854,0.61019,5.25,-5.0
excluded,random_train_pwm,FOXC1,0.4414,0.65669,0.48849,0.69397,0.32784,0.23523,0.35553,0.32407,3.51857,0.68596,0.29301,0.62488,2.4,-0.8
excluded,random_train_pwm,FOXD1,0.36819,0.58674,0.57143,0.73129,0.64286,0.21902,0.4001,0.39076,2.3465,0.50679,0.26555,0.57143,2.0,2.0
excluded,random_train_pwm,FOXD2,0.42546,0.63899,0.53506,0.71723,0.42917,0.24235,0.36807,0.34123,3.76493,0.67325,0.28051,0.62227,3.1,-2.7
excluded,random_train_pwm,FOXE1,0.48235,0.6631,0.53006,0.73031,0.31387,0.22413,0.34694,0.31923,3.45961,0.59224,0.28642,0.46505,3.66667,-3.0
excluded,random_train_pwm,FOXF1,0.34703,0.54907,0.5,0.83333,0.16667,0.23618,0.43208,0.38618,1.84023,0.44602,0.09915,0.42857,2.0,2.0
excluded,random_train_pwm,FOXF2,0.46046,0.66144,0.66667,0.57455,0.47222,0.22181,0.3616,0.36594,3.84059,0.86416,0.2976,0.77778,0.0,0.0
excluded,random_train_pwm,FOXI1,0.56048,0.72082,0.61982,0.76148,0.43979,0.19284,0.32975,0.28083,4.38936,0.51911,0.28823,0.61858,3.2,-2.0
excluded,random_train_pwm,FOXJ1,0.42971,0.58583,0.57143,0.7551,0.18182,0.24028,0.43468,0.39504,2.31412,0.49922,0.42758,1.0,2.0,2.0
excluded,random_train_pwm,FOXJ2,0.46237,0.66986,0.5294,0.75121,0.37141,0.23275,0.35287,0.31273,2.9528,0.77744,0.30838,0.62797,2.72727,-2.36364
excluded,random_train_pwm,FOXJ3,0.53297,0.70462,0.67394,0.76662,0.47954,0.20341,0.3331,0.2938,3.99049,0.62774,0.35155,0.71012,2.22222,-1.77778
excluded,random_train_pwm,FOXL1,0.40995,0.64381,0.53636,0.72019,0.41462,0.22539,0.36537,0.33701,4.24395,0.4833,0.32332,0.65411,2.8,-1.2
excluded,random_train_pwm,FOXN2,0.44719,0.67516,0.58333,0.75517,0.4625,0.23182,0.33885,0.30805,3.49561,0.73044,0.25888,0.7,5.0,-1.0
excluded,random_train_pwm,FOXO6,0.38633,0.60215,0.56286,0.72885,0.49565,0.24219,0.402,0.37521,3.01517,0.54843,0.31572,0.61786,3.0,-1.0
excluded,random_train_pwm,FOXP1,0.46477,0.67432,0.57626,0.69415,0.47655,0.22472,0.34911,0.30628,2.14268,0.67914,0.33984,0.69577,4.33333,-2.0
excluded,random_train_pwm,FOXP4,0.49971,0.68133,0.66667,0.78241,0.53333,0.21851,0.3395,0.27283,1.34944,0.67266,0.25624,0.57143,2.0,2.0
excluded,random_train_pwm,FOXS1,0.07454,0.51878,0.14286,0.65646,0.0625,0.28197,0.38577,0.33979,1.41349,0.85851,0.08699,0.25,1.0,1.0
excluded,random_train_pwm,KLF14,0.34902,0.58833,0.49569,0.63906,0.31672,0.25938,0.39715,0.38177,3.96955,0.78852,0.21763,0.61623,2.42857,-0.42857
excluded,random_train_pwm,KLF2,0.61335,0.72682,0.675,0.85302,0.31399,0.20151,0.30095,0.22251,2.12595,0.54761,0.16819,0.63194,3.75,3.75
excluded,random_train_pwm,NFE2,0.55247,0.69347,0.68168,0.78451,0.61347,0.21437,0.34464,0.30701,2.90455,0.67202,0.41045,0.8231,1.90909,1.18182
excluded,random_train_pwm,NFE2L1,0.49153,0.6742,0.61538,0.75135,0.50972,0.21891,0.34542,0.29509,1.46136,0.79106,0.4193,0.78571,2.0,-2.0
excluded,random_train_pwm,NPAS2,0.36784,0.55883,0.50238,0.6411,0.35001,0.29304,0.43082,0.44303,5.71806,0.85765,0.22956,0.63611,4.0,-2.4
excluded,random_train_pwm,POU2F1::SOX2,0.44802,0.64411,0.625,0.6715,0.50952,0.24071,0.37073,0.33146,2.27845,0.8984,0.21083,0.52941,8.0,-8.0
excluded,random_train_pwm,POU3F3,0.53681,0.6945,0.64694,0.73368,0.49705,0.2123,0.33839,0.29216,2.6728,0.6837,0.28592,0.65824,2.57143,-1.71429
excluded,random_train_pwm,POU3F4,0.43574,0.62665,0.58742,0.69457,0.47875,0.24922,0.37875,0.3554,3.75185,0.74679,0.26489,0.65729,2.30769,-2.30769
excluded,random_train_pwm,POU4F1,0.4792,0.70668,0.56716,0.73689,0.40009,0.20605,0.31443,0.25876,2.88235,0.5887,0.25607,0.76099,3.14286,-2.85714
excluded,random_train_pwm,POU4F2,0.48308,0.67763,0.625,0.76974,0.52788,0.22482,0.3536,0.31935,2.23641,0.79634,0.1997,0.36726,5.0,-5.0
excluded,random_train_pwm,POU4F3,0.43736,0.65307,0.56393,0.68876,0.43885,0.2422,0.35244,0.32117,3.67183,0.80094,0.25208,0.55573,3.41667,-2.91667
excluded,random_train_pwm,POU5F1B,0.31724,0.55809,0.47475,0.6594,0.40923,0.27014,0.41375,0.38712,2.27198,0.57197,0.17034,0.49495,1.0,-1.0
excluded,random_train_pwm,POU5F1P1,0.37922,0.59962,0.54316,0.6723,0.45785,0.26494,0.396,0.37991,3.87177,0.74033,0.24599,0.62791,3.9,-3.5
excluded,random_train_pwm,POU6F2,0.42934,0.62299,0.5881,0.67664,0.43095,0.2495,0.38558,0.36541,3.04875,0.71648,0.33774,0.75737,2.28571,0.28571
excluded,random_train_pwm,SP3,0.48042,0.69461,0.5816,0.7577,0.39073,0.21335,0.31597,0.27748,2.40501,0.67661,0.33834,0.70892,2.42857,0.14286
excluded,random_train_pwm,SP5,0.33473,0.57301,0.45397,0.65414,0.26111,0.29754,0.39495,0.4319,4.40853,1.23311,0.15297,0.5799,6.0,-2.0
excluded,random_train_pwm,SP7,0.74372,0.90881,0.71429,0.88596,0.45,0.11085,0.16699,0.09163,2.09609,0.46549,0.40046,0.84615,1.0,-1.0
excluded,random_train_pwm,THRA,0.46008,0.68835,0.62075,0.75281,0.525,0.21807,0.32771,0.28646,4.64656,0.73763,0.22777,0.81752,3.0,0.14286
excluded,random_train_pwm,ZBTB40,0.33612,0.54845,0.52727,0.65595,0.43333,0.26413,0.43523,0.41869,5.37522,0.61781,0.20812,0.66667,2.5,-2.5
excluded,B0_global,EHF,0.62114,0.61629,0.80272,0.85208,0.59286,0.30815,0.36486,0.37852,1.38509,1.5182,0.33322,0.59885,4.14286,4.14286
excluded,B0_global,ELF4,0.6483,0.61183,0.77976,0.88089,0.575,0.31597,0.37427,0.40288,1.4659,1.60062,0.36304,0.58902,3.0,3.0
excluded,B0_global,ELF5,0.63462,0.61092,0.83247,0.87917,0.60152,0.31237,0.36992,0.39369,1.43281,1.56559,0.24988,0.49495,3.72727,3.72727
excluded,B0_global,ELK3,0.56343,0.61102,0.77576,0.84368,0.58667,0.30737,0.36324,0.37727,1.38282,1.49711,0.26686,0.56944,4.4,4.4
excluded,B0_global,ETV2,0.61298,0.65197,0.77704,0.79377,0.58469,0.28497,0.33868,0.3545,1.26317,1.3828,0.33207,0.64762,4.14286,4.14286
excluded,B0_global,ETV3,0.43477,0.63363,0.64242,0.7299,0.54201,0.28654,0.34173,0.35641,1.28527,1.36591,0.21915,0.66309,3.85714,0.42857
excluded,B0_global,ETV7,0.46711,0.6368,0.66815,0.75528,0.52991,0.28946,0.34442,0.34162,1.25738,1.34771,0.30944,0.72438,3.0,2.5
excluded,B0_global,EWSR1-FLI1,0.48425,0.55828,0.6,0.82,0.325,0.34718,0.402,0.45095,1.66539,1.76964,0.26903,0.55556,4.0,-4.0
excluded,B0_global,FOXB1,0.38339,0.63019,0.53639,0.69096,0.40345,0.28892,0.34211,0.33537,1.2429,1.31206,0.28303,0.61461,5.25,-5.0
excluded,B0_global,FOXC1,0.46757,0.6715,0.57401,0.75681,0.35396,0.25998,0.31128,0.2926,1.0694,1.14232,0.41403,0.79716,2.4,-0.8
excluded,B0_global,FOXD1,0.37909,0.56518,0.57143,0.72109,0.38095,0.33677,0.39081,0.42748,1.58204,1.66602,0.38709,0.71429,2.0,2.0
excluded,B0_global,FOXD2,0.40822,0.66663,0.53679,0.71227,0.35985,0.26014,0.30987,0.29328,1.07006,1.12416,0.30774,0.64467,3.1,-2.7
excluded,B0_global,FOXE1,0.45631,0.67077,0.52037,0.7364,0.32404,0.25948,0.3126,0.3012,1.09161,1.15438,0.31947,0.6801,3.66667,-3.0
excluded,B0_global,FOXF1,0.46431,0.58056,0.71429,0.75625,0.36667,0.33173,0.38738,0.42524,1.57139,1.6531,0.36994,0.85714,2.0,2.0
excluded,B0_global,FOXF2,0.38774,0.5887,0.625,0.71498,0.38889,0.3208,0.38099,0.43416,1.56655,1.6425,0.34466,0.88889,0.0,0.0
excluded,B0_global,FOXI1,0.39126,0.62295,0.58431,0.71635,0.41933,0.29239,0.34835,0.35105,1.29755,1.35834,0.29387,0.74135,3.2,-2.0
excluded,B0_global,FOXJ1,0.41515,0.58827,0.71429,0.73469,0.22727,0.32049,0.37789,0.39853,1.48027,1.55418,0.41515,1.0,2.0,2.0
excluded,B0_global,FOXJ2,0.36101,0.62763,0.50718,0.71681,0.33083,0.28889,0.34392,0.35274,1.29135,1.34783,0.30878,0.71689,2.72727,-2.36364
excluded,B0_global,FOXJ3,0.32609,0.60983,0.46473,0.7134,0.26152,0.30002,0.35528,0.36608,1.35168,1.40808,0.29345,0.80576,2.22222,-1.77778
excluded,B0_global,FOXL1,0.38547,0.62526,0.5213,0.75181,0.27776,0.29195,0.34667,0.35168,1.29091,1.36193,0.36125,0.81126,2.8,-1.2
excluded,B0_global,FOXN2,0.41347,0.67336,0.47727,0.74174,0.4375,0.25332,0.30785,0.27214,1.02769,1.073,0.2309,0.5,5.0,-1.0
excluded,B0_global,FOXO6,0.41402,0.58705,0.5969,0.7506,0.38766,0.31959,0.37609,0.39994,1.48037,1.55893,0.31654,0.8,3.0,-1.0
excluded,B0_global,FOXP1,0.37606,0.64301,0.54481,0.71205,0.36573,0.27731,0.3326,0.31914,1.19162,1.25198,0.34172,0.83482,4.33333,-2.0
excluded,B0_global,FOXP4,0.3918,0.5954,0.57143,0.72109,0.38095,0.30941,0.35959,0.32579,1.27328,1.34637,0.3918,1.0,2.0,2.0
excluded,B0_global,FOXS1,0.35186,0.59148,0.625,0.71875,0.5375,0.30703,0.36167,0.33403,1.29969,1.33995,0.34054,0.875,1.0,1.0
excluded,B0_global,KLF14,0.2574,0.65596,0.24874,0.64026,0.18918,0.26416,0.31836,0.29925,1.11603,1.13296,0.22448,0.88731,2.42857,-0.42857
excluded,B0_global,KLF2,0.27347,0.62935,0.38125,0.64434,0.28542,0.282,0.33763,0.3161,1.19058,1.21509,0.22911,0.88889,3.75,3.75
excluded,B0_global,NFE2,0.62991,0.60782,0.61059,0.86882,0.52587,0.30725,0.36296,0.38838,1.41651,1.49793,0.37895,0.60791,1.90909,1.18182
excluded,B0_global,NFE2L1,0.66731,0.57472,0.66667,0.91667,0.58333,0.32924,0.38618,0.43419,1.58398,1.67442,0.28599,0.42857,2.0,-2.0
excluded,B0_global,NPAS2,0.31386,0.66055,0.48667,0.67949,0.38262,0.26398,0.32749,0.3274,1.19827,1.21454,0.14276,0.53889,4.0,-2.4
excluded,B0_global,POU2F1::SOX2,0.33087,0.64094,0.58333,0.68359,0.45,0.27921,0.3308,0.30759,1.14994,1.21298,0.21783,0.41176,8.0,-8.0
excluded,B0_global,POU3F3,0.4795,0.68302,0.59266,0.78254,0.37491,0.25578,0.3038,0.26484,0.9918,1.07447,0.41431,0.78852,2.57143,-1.71429
excluded,B0_global,POU3F4,0.47062,0.63847,0.52338,0.79541,0.34327,0.28919,0.34088,0.33777,1.24558,1.34523,0.36568,0.62218,2.30769,-2.30769
excluded,B0_global,POU4F1,0.45039,0.6741,0.53401,0.78107,0.43735,0.25978,0.31083,0.27101,1.01944,1.09782,0.43968,0.74313,3.14286,-2.85714
excluded,B0_global,POU4F2,0.51963,0.63918,0.52083,0.83005,0.37873,0.28616,0.33819,0.31407,1.18044,1.28545,0.37104,0.64821,5.0,-5.0
excluded,B0_global,POU4F3,0.41882,0.68219,0.48891,0.75909,0.38009,0.25532,0.31034,0.27712,1.02897,1.10854,0.42186,0.73389,3.41667,-2.91667
excluded,B0_global,POU5F1B,0.29229,0.60549,0.47222,0.72258,0.28323,0.30069,0.35474,0.35433,1.32605,1.3851,0.28971,0.60606,1.0,-1.0
excluded,B0_global,POU5F1P1,0.44077,0.66287,0.54389,0.77787,0.33623,0.272,0.32573,0.31204,1.14864,1.22851,0.31205,0.61684,3.9,-3.5
excluded,B0_global,POU6F2,0.63959,0.66365,0.65125,0.89532,0.37849,0.27854,0.33258,0.32652,1.18944,1.32986,0.59663,0.90317,2.28571,0.28571
excluded,B0_global,SP3,0.23625,0.62858,0.23064,0.64408,0.22608,0.27876,0.33529,0.31674,1.19319,1.20654,0.21488,0.91412,2.42857,0.14286
excluded,B0_global,SP5,0.32419,0.67206,0.34091,0.72402,0.20977,0.25609,0.30685,0.29402,1.093,1.13103,0.25139,0.7893,6.0,-2.0
excluded,B0_global,SP7,0.57979,0.71034,0.63636,0.82381,0.41429,0.23934,0.28258,0.22621,0.84618,0.95456,0.49059,0.84615,1.0,-1.0
excluded,B0_global,THRA,0.32603,0.65615,0.40476,0.68651,0.36929,0.26446,0.31985,0.29083,1.09576,1.13253,0.2198,0.72419,3.0,0.14286
excluded,B0_global,ZBTB40,0.49381,0.62,0.70707,0.75686,0.46726,0.29814,0.35351,0.33931,1.277,1.35952,0.28415,0.75,2.5,-2.5
excluded,B0_family,EHF,0.70678,0.86147,0.78773,0.87877,0.67999,0.11342,0.18658,0.11426,0.5602,0.3659,0.70678,1.0,4.14286,4.14286
excluded,B0_family,ELF4,0.6933,0.84385,0.76136,0.86423,0.64582,0.12759,0.21161,0.13526,0.6566,0.45051,0.6933,1.0,3.0,3.0
excluded,B0_family,ELF5,0.70126,0.87759,0.78705,0.87823,0.64901,0.11007,0.17141,0.10301,0.50198,0.39487,0.70126,1.0,3.72727,3.72727
excluded,B0_family,ELK3,0.62948,0.77661,0.73651,0.87981,0.60952,0.1613,0.27296,0.20044,0.90812,0.53674,0.59522,0.91667,4.4,4.4
excluded,B0_family,ETV2,0.68963,0.82177,0.77802,0.86979,0.66012,0.14279,0.23441,0.16014,0.74804,0.39981,0.68963,1.0,4.14286,4.14286
excluded,B0_family,ETV3,0.58559,0.78159,0.68398,0.85626,0.60842,0.15688,0.2486,0.19535,0.90868,0.42438,0.47506,0.8106,3.85714,0.42857
excluded,B0_family,ETV7,0.62749,0.81283,0.74306,0.86581,0.58038,0.14559,0.21762,0.15718,0.77106,0.42371,0.52495,0.83196,3.0,2.5
excluded,B0_family,EWSR1-FLI1,0.53136,0.67716,0.64286,0.87415,0.32386,0.23265,0.35736,0.31385,1.21022,1.01239,0.41328,0.77778,4.0,-4.0
excluded,B0_family,FOXB1,0.46404,0.6895,0.6059,0.76444,0.39658,0.23816,0.32204,0.27926,1.15851,0.88728,0.30598,0.65097,5.25,-5.0
excluded,B0_family,FOXC1,0.65732,0.81134,0.65426,0.87728,0.44024,0.18323,0.24777,0.18845,0.74195,0.73635,0.56338,0.84483,2.4,-0.8
excluded,B0_family,FOXD1,0.62073,0.73616,0.71429,0.82313,0.60417,0.24026,0.32299,0.28266,1.16617,1.11947,0.62073,1.0,2.0,2.0
excluded,B0_family,FOXD2,0.5883,0.78315,0.57698,0.82375,0.35652,0.19845,0.26139,0.2092,0.84019,0.73036,0.43276,0.73342,3.1,-2.7
excluded,B0_family,FOXE1,0.72574,0.83652,0.74074,0.87101,0.5008,0.19311,0.25131,0.20904,0.74613,0.96261,0.52705,0.72253,3.66667,-3.0
excluded,B0_family,FOXF1,0.7721,0.82942,0.85714,0.88125,0.63889,0.21286,0.27291,0.23286,0.82753,1.11674,0.7721,1.0,2.0,2.0
excluded,B0_family,FOXF2,0.59401,0.76121,0.42857,0.90476,0.16667,0.23052,0.31279,0.29368,0.99065,1.22906,0.46201,0.77778,0.0,0.0
excluded,B0_family,FOXI1,0.58367,0.7535,0.60179,0.805,0.47625,0.22216,0.29401,0.24685,0.99054,0.94691,0.46528,0.78761,3.2,-2.0
excluded,B0_family,FOXJ1,0.62805,0.76088,0.71429,0.91156,0.36667,0.2161,0.30339,0.25167,0.8722,1.00761,0.62805,1.0,2.0,2.0
excluded,B0_family,FOXJ2,0.63733,0.77676,0.59957,0.85096,0.42469,0.2088,0.27906,0.23345,0.86475,0.92143,0.47921,0.75401,2.72727,-2.36364
excluded,B0_family,FOXJ3,0.69304,0.80495,0.67549,0.88856,0.46808,0.20688,0.26926,0.22835,0.83627,0.96065,0.51725,0.7428,2.22222,-1.77778
excluded,B0_family,FOXL1,0.68317,0.82166,0.73016,0.85513,0.58136,0.19307,0.25315,0.2016,0.74261,0.88782,0.58026,0.84221,2.8,-1.2
excluded,B0_family,FOXN2,0.30927,0.61083,0.63333,0.63266,0.52083,0.25894,0.34579,0.31524,1.5103,0.76404,0.19619,0.7,5.0,-1.0
excluded,B0_family,FOXO6,0.62861,0.74599,0.67143,0.80121,0.54048,0.23431,0.30979,0.26779,1.14392,1.05739,0.50336,0.78929,3.0,-1.0
excluded,B0_family,FOXP1,0.66432,0.79021,0.7295,0.82927,0.59873,0.20558,0.26965,0.20678,0.85468,0.84642,0.56884,0.84755,4.33333,-2.0
excluded,B0_family,FOXP4,0.63423,0.7611,0.71429,0.82313,0.60417,0.2131,0.29048,0.20363,0.91392,0.79982,0.63423,1.0,2.0,2.0
excluded,B0_family,FOXS1,0.54832,0.72167,0.625,0.76562,0.5,0.22678,0.3089,0.22734,1.00721,0.80061,0.54832,1.0,1.0,1.0
excluded,B0_family,KLF14,0.61189,0.7177,0.83798,0.84481,0.3982,0.24203,0.29257,0.26138,0.94437,1.07824,0.58008,0.92779,2.42857,-0.42857
excluded,B0_family,KLF2,0.65778,0.68307,0.75694,0.8662,0.28915,0.2715,0.32268,0.29427,1.08002,1.25325,0.65778,1.0,3.75,3.75
excluded,B0_family,NFE2,0.43901,0.66343,0.48154,0.7553,0.43669,0.27757,0.33497,0.33663,1.22921,1.34887,0.3861,0.92208,1.90909,1.18182
excluded,B0_family,NFE2L1,0.4063,0.61844,0.45455,0.75482,0.40952,0.31174,0.36981,0.38249,1.41421,1.55825,0.31924,0.78571,2.0,-2.0
excluded,B0_family,NPAS2,0.48847,0.72901,0.52222,0.77668,0.48,0.24455,0.30426,0.29547,1.0417,1.20536,0.38689,0.8,4.0,-2.4
excluded,B0_family,POU2F1::SOX2,0.33087,0.64094,0.58333,0.68359,0.45,0.27921,0.3308,0.30759,1.14994,1.21298,0.21783,0.41176,8.0,-8.0
excluded,B0_family,POU3F3,0.4795,0.68302,0.59266,0.78254,0.37491,0.25578,0.3038,0.26484,0.9918,1.07447,0.41431,0.78852,2.57143,-1.71429
excluded,B0_family,POU3F4,0.47062,0.63847,0.52338,0.79541,0.34327,0.28919,0.34088,0.33777,1.24558,1.34523,0.36568,0.62218,2.30769,-2.30769
excluded,B0_family,POU4F1,0.45039,0.6741,0.53401,0.78107,0.43735,0.25978,0.31083,0.27101,1.01944,1.09782,0.43968,0.74313,3.14286,-2.85714
excluded,B0_family,POU4F2,0.51963,0.63918,0.52083,0.83005,0.37873,0.28616,0.33819,0.31407,1.18044,1.28545,0.37104,0.64821,5.0,-5.0
excluded,B0_family,POU4F3,0.41882,0.68219,0.48891,0.75909,0.38009,0.25532,0.31034,0.27712,1.02897,1.10854,0.42186,0.73389,3.41667,-2.91667
excluded,B0_family,POU5F1B,0.29229,0.60549,0.47222,0.72258,0.28323,0.30069,0.35474,0.35433,1.32605,1.3851,0.28971,0.60606,1.0,-1.0
excluded,B0_family,POU5F1P1,0.44077,0.66287,0.54389,0.77787,0.33623,0.272,0.32573,0.31204,1.14864,1.22851,0.31205,0.61684,3.9,-3.5
excluded,B0_family,POU6F2,0.63959,0.66365,0.65125,0.89532,0.37849,0.27854,0.33258,0.32652,1.18944,1.32986,0.59663,0.90317,2.28571,0.28571
excluded,B0_family,SP3,0.60505,0.69871,0.76373,0.87148,0.37352,0.25047,0.30648,0.27293,0.99714,1.13053,0.5733,0.93197,2.42857,0.14286
excluded,B0_family,SP5,0.54962,0.70637,0.8265,0.79561,0.28114,0.2513,0.30259,0.28312,1.02747,1.15735,0.48555,0.7893,6.0,-2.0
excluded,B0_family,SP7,0.23517,0.7448,0.4,0.61905,0.14286,0.19818,0.24346,0.15866,0.62517,0.63704,0.09045,0.38462,1.0,-1.0
excluded,B0_family,THRA,0.53718,0.74115,0.62381,0.79797,0.61375,0.22938,0.29033,0.2476,0.91628,1.05124,0.37116,0.72281,3.0,0.14286
excluded,B0_family,ZBTB40,-0.1724,0.62613,0.125,0.43795,0.05357,0.25757,0.3117,0.24664,0.99893,0.9016,-0.07953,0.46667,2.5,-2.5
excluded,B1_nearest_pwm,EHF,0.73002,0.87201,0.76898,0.89547,0.66845,0.12261,0.18759,0.1153,1.67664,0.50444,0.73002,1.0,4.14286,4.14286
excluded,B1_nearest_pwm,ELF4,0.73305,0.86535,0.74053,0.88334,0.63252,0.1293,0.19862,0.13118,1.83922,0.59865,0.73305,1.0,3.0,3.0
excluded,B1_nearest_pwm,ELF5,0.59911,0.70665,0.67424,0.70254,0.40455,0.20308,0.36241,0.30254,4.15752,0.75157,0.16655,0.98347,3.72727,3.72727
excluded,B1_nearest_pwm,ELK3,0.42326,0.64014,0.52897,0.69864,0.40583,0.23467,0.36037,0.32208,5.28244,0.64577,0.41228,0.95,4.4,4.4
excluded,B1_nearest_pwm,ETV2,0.43134,0.58895,0.56803,0.59716,0.4619,0.29627,0.42215,0.47028,5.7629,1.15726,0.11397,0.83871,4.14286,4.14286
excluded,B1_nearest_pwm,ETV3,0.67644,0.82675,0.69048,0.90112,0.6053,0.14696,0.2244,0.16473,1.30476,0.51093,0.53384,0.77587,3.85714,0.42857
excluded,B1_nearest_pwm,ETV7,0.33742,0.58853,0.525,0.68065,0.31458,0.25492,0.38263,0.35296,1.98472,0.67031,0.1191,0.85191,3.0,2.5
excluded,B1_nearest_pwm,EWSR1-FLI1,0.46796,0.65815,0.64286,0.75,0.32386,0.2352,0.3718,0.35823,4.66389,0.91565,0.36397,0.77778,4.0,-4.0
excluded,B1_nearest_pwm,FOXB1,0.3845,0.58489,0.51389,0.6526,0.3375,0.25653,0.40779,0.38096,4.41456,0.54434,0.24318,0.63222,5.25,-5.0
excluded,B1_nearest_pwm,FOXC1,0.51735,0.68815,0.5863,0.8264,0.42057,0.21513,0.34524,0.27965,2.04339,0.62682,0.43345,0.8315,2.4,-0.8
excluded,B1_nearest_pwm,FOXD1,0.49237,0.64847,0.57143,0.88095,0.51786,0.20393,0.38131,0.29545,1.58426,0.49877,0.49237,1.0,2.0,2.0
excluded,B1_nearest_pwm,FOXD2,0.47102,0.66402,0.5352,0.7796,0.36313,0.22639,0.35602,0.29479,2.14764,0.60183,0.33044,0.69706,3.1,-2.7
excluded,B1_nearest_pwm,FOXE1,0.49056,0.69079,0.54935,0.72575,0.32454,0.23053,0.33525,0.29819,5.27982,0.79332,0.39296,0.74634,3.66667,-3.0
excluded,B1_nearest_pwm,FOXF1,0.65091,0.75675,0.71429,0.91563,0.5625,0.15932,0.31856,0.2068,0.92685,0.42216,0.65091,1.0,2.0,2.0
excluded,B1_nearest_pwm,FOXF2,0.40264,0.63635,0.5,0.80676,0.275,0.25463,0.36734,0.37992,5.38668,1.07306,0.33475,1.0,0.0,0.0
excluded,B1_nearest_pwm,FOXI1,0.80226,0.88086,0.7829,0.9082,0.60489,0.12634,0.19739,0.13053,0.89491,0.53362,0.66754,0.76868,3.2,-2.0
excluded,B1_nearest_pwm,FOXJ1,0.49676,0.65626,0.71429,0.70068,0.36667,0.22062,0.38368,0.33592,2.52635,0.69658,0.49428,1.0,2.0,2.0
excluded,B1_nearest_pwm,FOXJ2,0.78627,0.86868,0.79986,0.8859,0.62803,0.13404,0.20532,0.14833,1.14807,0.60341,0.62018,0.72356,2.72727,-2.36364
excluded,B1_nearest_pwm,FOXJ3,0.52449,0.71249,0.59965,0.86492,0.51802,0.18571,0.32304,0.23642,1.43865,0.45207,0.41617,0.80946,2.22222,-1.77778
excluded,B1_nearest_pwm,FOXL1,0.85,0.91928,0.83377,0.90651,0.64995,0.11001,0.16465,0.10359,1.15018,0.50635,0.7422,0.80736,2.8,-1.2
excluded,B1_nearest_pwm,FOXN2,0.3366,0.58001,0.42222,0.57635,0.38393,0.26064,0.40393,0.39534,3.4637,0.68683,0.27498,0.8,5.0,-1.0
excluded,B1_nearest_pwm,FOXO6,0.77931,0.86048,0.76786,0.92478,0.6353,0.12918,0.20804,0.14848,0.75772,0.54916,0.69084,0.84286,3.0,-1.0
excluded,B1_nearest_pwm,FOXP1,0.55216,0.70383,0.64325,0.78244,0.46265,0.20112,0.33636,0.27175,1.75092,0.5251,0.40216,0.833,4.33333,-2.0
excluded,B1_nearest_pwm,FOXP4,0.44098,0.65604,0.57143,0.7619,0.31429,0.22061,0.3601,0.28341,1.56254,0.52481,0.35951,1.0,2.0,2.0
excluded,B1_nearest_pwm,FOXS1,0.90655,0.94052,0.875,0.98958,0.72222,0.09072,0.14841,0.06715,0.59699,0.44999,0.90655,1.0,1.0,1.0
