target	family	off_targets	target_self_corr	pred_off_corr_mean	pred_off_corr_max	exp_off_corr_mean	exp_off_corr_max	predicted_separability	exp_oracle_margin	tfscope_transfer_margin	case
FOSL2	bZIP	NRL;ATF3;Mafb;MAFF;FOS::JUN;CREM;CREB1;BATF3	0.52	0.814	0.963	0.782	0.966	0.971	2.146	-1.849	hard
MAFF	bZIP	MAFB;MAFG;MAF;BATF3;FOS;BATF;JUND;MAFA	0.932	0.982	0.995	0.907	0.997	3.381	0.452	-2.053	hard
NFIL3	bZIP	MAFK;BATF2;CREM;NFE2L2;GCN4;HLF;JUN_JUNB;TEF	0.627	0.795	0.967	0.69	0.963	1.984	0.99	-0.881	hard
CG18619	bZIP	JUNB;BATF3;FOS::JUN;ATF6;JUN_JUNB;HLF;CREM;DBP	0.997	0.916	0.99	0.83	0.962	1.432	1.751	1.062	hard
ATF3	bZIP	FOSL2;FOSL1;JUND;BATF;FOS;BACH1;NFE2L2;NFE2L1	0.583	0.832	0.916	0.639	0.726	1.308	3.888	-1.426	moderate
CREB3L4	bZIP	CREB3L2;CREB3L1;ATF6B;CREB3;MAFF;FOS::JUN;Mafb;CREB3L3	0.995	0.954	0.997	0.856	0.991	1.331	0.258	-1.202	hard
CREM	bZIP	JUN_JUNB;FOS::JUN;JUNB;CG18619;BATF3;CREBZF;NFIL3;ATF6	0.925	0.887	0.971	0.806	0.988	2.403	1.94	-1.367	hard
ATF6	bZIP	BATF3;FOS::JUN;JUNB;CG18619;CREM;JUN_JUNB;CREB3L3;FOSB	0.973	0.89	0.996	0.716	0.988	1.359	1.061	0.067	hard
XBP1	bZIP	MAFF;FOS::JUN;Mafb;CREB3L4;ATF6B;CREB3;CREB3L2;CREB3L1	0.942	0.85	0.907	0.868	0.98	2.335	1.208	0.366	moderate
FOSL1	bZIP	JUND;FOS;BATF;NFE2L2;JDP2;BACH1;FOS::JUN;NFE2	0.622	0.926	0.995	0.761	0.979	1.227	3.08	-1.85	hard
CREB3	bZIP	CREB3L2;CREB3L4;CREB3L1;ATF6B;FOS::JUN;CREB3L3;XBP1;FOS	0.966	0.92	0.983	0.901	0.991	2.246	0.47	-1.1	hard
ATF6B	bZIP	CREB3L2;CREB3L1;CREB3L4;CREB3;FOS::JUN;XBP1;CREB3L3;JUN	0.994	0.914	0.995	0.894	0.995	2.243	1.414	-0.172	hard
MAF	bZIP	MAFB;MAFF;Mafb;NRL;MAFG;MAFA;FOS;JUND	0.945	0.957	0.997	0.924	0.997	1.252	2.096	-0.858	hard
CREBZF	bZIP	CREM;CREB3L3;CG18619;DBP;HLF;CREB3L2;CREB3L1;TEF	0.996	0.79	0.839	0.678	0.75	2.559	3.572	1.868	easy
GABPA	ETS	ELF1;ELF2;ELF4;ETV1;EHF;ELK1;ELK4;FEV	0.995	0.994	0.999	0.931	0.988	0.067	0.534	-0.69	hard
ELK4	ETS	ETV1;ERG;FEV;ERF;GABPA;ELK1;ELF2;ETV5	0.997	0.991	0.996	0.986	0.994	0.223	0.919	0.275	hard
Spi1	ETS	SPI1;ETV6;ETV3;ETV1;SPIC;ETV4;ELK4;GABPA	0.704	0.891	0.996	0.832	0.994	0.204	0.803	-1.591	hard
SPI1	ETS	Spi1;ETV6;ETV3;ETV1;SPIC;ETV4;ELF5;ELK4	0.694	0.897	0.996	0.831	0.994	0.202	1.445	-1.169	hard
SPDEF	ETS	ELK3;ELF4;ELF2;EHF;ETV5;ELK4;ELK1;ELF1	0.997	0.82	0.84	0.777	0.841	2.431	1.861	1.504	easy
ELF3	ETS	ETV6;ETS1;ELF5;FLI1;ETS2;EWSR1-FLI1;EHF;ELF1	0.996	0.878	0.985	0.917	0.991	1.368	1.106	0.646	hard
ETS1	ETS	ETV6;FLI1;EWSR1-FLI1;ELF5;ELF3;EHF;ETS2;ELF1	0.988	0.947	0.968	0.919	0.971	1.317	0.645	-0.414	hard
FEV	ETS	ETV5;ERF;ETV1;ELK4;ERG;ELK1;GABPA;ELF1	0.998	0.993	0.998	0.961	0.996	0.138	0.669	0.426	hard
ETV1	ETS	ELF2;ELK1;FEV;GABPA;ELK4;ELF1;ELF4;ETV5	0.995	0.996	0.998	0.959	0.986	0.762	0.615	-0.311	hard
ETS2	ETS	ETS1;ETV6;ELF1;EWSR1-FLI1;ETV1;FLI1;GABPA;ELK3	0.827	0.882	0.929	0.877	0.972	1.529	1.073	-0.947	moderate
ERG	ETS	ELK4;ERF;FEV;ETV6;ETV1;ETV5;ELK1;GABPA	0.986	0.987	0.993	0.975	0.987	0.264	0.835	-0.079	hard
